Kod;Proces;Warstwa;Grupa procesowa;Wzorzec;Wlasciciel;Komorka org.;Status L3;Model L3;Liczba aktywow AI;Aktywa AI (kody);Systemy/moduly;Dane osobowe;Dane medyczne (art.9);plik BPMN;plik PNG;plik PDF;Uwagi walidacji
W2.01;Planowanie zatrudnienia i etatów;Wspierający;W2. HR / Kadry-Płace;W2;DPP / Zarząd;K.DPP, Z;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.01__Planowanie-zatrudnienia-i-etatow.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.01__Planowanie-zatrudnienia-i-etatow.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.01__Planowanie-zatrudnienia-i-etatow.pdf;
W2.02;Rekrutacja i selekcja;Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.02__Rekrutacja-i-selekcja.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.02__Rekrutacja-i-selekcja.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.02__Rekrutacja-i-selekcja.pdf;
W2.03;Zatrudnianie - umowy o pracę i kontrakty cywilnoprawne;Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.03__Zatrudnianie-umowy-o-prace-i-kontrakty-cywilnopraw.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.03__Zatrudnianie-umowy-o-prace-i-kontrakty-cywilnopraw.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.03__Zatrudnianie-umowy-o-prace-i-kontrakty-cywilnopraw.pdf;
W2.04;Wdrożenie i adaptacja nowego pracownika;Wspierający;W2. HR / Kadry-Płace;W2;DPP / kierownicy komórek;K.DPP;Zamodelowany (L3);01_ONBOARDING;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.04__Wdrozenie-i-adaptacja-nowego-pracownika.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.04__Wdrozenie-i-adaptacja-nowego-pracownika.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.04__Wdrozenie-i-adaptacja-nowego-pracownika.pdf;
W2.05;Naliczanie i wypłata wynagrodzeń (płace, ZUS, PIT);Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.05__Naliczanie-i-wyplata-wynagrodzen-place-ZUS-PIT.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.05__Naliczanie-i-wyplata-wynagrodzen-place-ZUS-PIT.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.05__Naliczanie-i-wyplata-wynagrodzen-place-ZUS-PIT.pdf;
W2.06;Ewidencja czasu pracy i grafiki;Wspierający;W2. HR / Kadry-Płace;W2;DPP / kierownicy komórek;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.06__Ewidencja-czasu-pracy-i-grafiki.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.06__Ewidencja-czasu-pracy-i-grafiki.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.06__Ewidencja-czasu-pracy-i-grafiki.pdf;
W2.07;Urlopy i nieobecności;Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.07__Urlopy-i-nieobecnosci.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.07__Urlopy-i-nieobecnosci.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.07__Urlopy-i-nieobecnosci.pdf;
W2.08;Świadczenia socjalne (ZFŚS);Wspierający;W2. HR / Kadry-Płace;W2;DPP / Komisja Socjalna;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.08__Swiadczenia-socjalne-ZFSS.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.08__Swiadczenia-socjalne-ZFSS.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.08__Swiadczenia-socjalne-ZFSS.pdf;
W2.09;Szkolenia obowiązkowe i podnoszenie kwalifikacji;Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Zamodelowany (L3);08_SZKOLENIA;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.09__Szkolenia-obowiazkowe-i-podnoszenie-kwalifikacji.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.09__Szkolenia-obowiazkowe-i-podnoszenie-kwalifikacji.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.09__Szkolenia-obowiazkowe-i-podnoszenie-kwalifikacji.pdf;
W2.10;Pracownicze Plany Kapitałowe (PPK);Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.10__Pracownicze-Plany-Kapitalowe-PPK.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.10__Pracownicze-Plany-Kapitalowe-PPK.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.10__Pracownicze-Plany-Kapitalowe-PPK.pdf;
W2.11;Prowadzenie akt osobowych i archiwum kadr;Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.11__Prowadzenie-akt-osobowych-i-archiwum-kadr.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.11__Prowadzenie-akt-osobowych-i-archiwum-kadr.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.11__Prowadzenie-akt-osobowych-i-archiwum-kadr.pdf;
W2.12;Medycyna pracy (profilaktyczne badania pracowników);Wspierający;W2. HR / Kadry-Płace;W2;DPP;K.DPP;Do modelowania;;0;;;Tak;Tak;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.12__Medycyna-pracy-profilaktyczne-badania-pracownikow.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.12__Medycyna-pracy-profilaktyczne-badania-pracownikow.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.12__Medycyna-pracy-profilaktyczne-badania-pracownikow.pdf;
W2.13;Sprawy dyscyplinarne i rozwiązanie stosunku pracy;Wspierający;W2. HR / Kadry-Płace;W2;DPP / RP;K.DPP, RP;Zamodelowany (L3);02_OFFBOARDING (część);0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.13__Sprawy-dyscyplinarne-i-rozwiazanie-stosunku-pracy.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.13__Sprawy-dyscyplinarne-i-rozwiazanie-stosunku-pracy.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.13__Sprawy-dyscyplinarne-i-rozwiazanie-stosunku-pracy.pdf;
W2.14;Zarządzanie dyżurami i grafikami lekarskimi (obsada lekarska, dyżury medyczne);Wspierający;W2. HR / Kadry-Płace;W2;DPP / Kierownicy komórek medycznych / DM;K.DPP, Oddziały;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.14__Zarzadzanie-dyzurami-i-grafikami-lekarskimi-obsada.bpmn;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.14__Zarzadzanie-dyzurami-i-grafikami-lekarskimi-obsada.png;3_Wspierajacy_W/W2_HR-Kadry-Place/W2.14__Zarzadzanie-dyzurami-i-grafikami-lekarskimi-obsada.pdf;
W3.01;Plan postępowań o udzielenie zamówień publicznych;Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Zamodelowany (L3);03_ZAKUPY_DECYZJA_TRYB;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.01__Plan-postepowan-o-udzielenie-zamowien-publicznych.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.01__Plan-postepowan-o-udzielenie-zamowien-publicznych.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.01__Plan-postepowan-o-udzielenie-zamowien-publicznych.pdf;
W3.02;Prowadzenie postępowań PZP (przetargi, tryby konkurencyjne);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Zamodelowany (L3);04_PZP / 05_BK;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.02__Prowadzenie-postepowan-PZP-przetargi-tryby-konkure.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.02__Prowadzenie-postepowan-PZP-przetargi-tryby-konkure.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.02__Prowadzenie-postepowan-PZP-przetargi-tryby-konkure.pdf;
W3.03;Udzielanie zamówień podprogowych (wg regulaminu wewnętrznego);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Zamodelowany (L3);06_WOLNA_REKA / 07_KONKURS_OFERT;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.03__Udzielanie-zamowien-podprogowych-wg-regulaminu-wew.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.03__Udzielanie-zamowien-podprogowych-wg-regulaminu-wew.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.03__Udzielanie-zamowien-podprogowych-wg-regulaminu-wew.pdf;
W3.04;Realizacja zakupów bieżących (zaopatrzenie);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.04__Realizacja-zakupow-biezacych-zaopatrzenie.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.04__Realizacja-zakupow-biezacych-zaopatrzenie.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.04__Realizacja-zakupow-biezacych-zaopatrzenie.pdf;
W3.05;Zarządzanie umowami z dostawcami (CLM);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP / RP;DZP, RP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.05__Zarzadzanie-umowami-z-dostawcami-CLM.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.05__Zarzadzanie-umowami-z-dostawcami-CLM.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.05__Zarzadzanie-umowami-z-dostawcami-CLM.pdf;
W3.06;Gospodarka magazynowa (jeśli prowadzony magazyn centralny);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.06__Gospodarka-magazynowa-jesli-prowadzony-magazyn-cen.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.06__Gospodarka-magazynowa-jesli-prowadzony-magazyn-cen.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.06__Gospodarka-magazynowa-jesli-prowadzony-magazyn-cen.pdf;
W3.07;Obsługa platformy eZamówienia (Platforma e-Zamówienia);Wspierający;W3. Zamówienia publiczne i zakupy;W3;DZP;DZP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.07__Obsluga-platformy-eZamowienia-Platforma-e-Zamowien.bpmn;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.07__Obsluga-platformy-eZamowienia-Platforma-e-Zamowien.png;3_Wspierajacy_W/W3_Zamowienia-publiczne-i-zakupy/W3.07__Obsluga-platformy-eZamowienia-Platforma-e-Zamowien.pdf;
W4.01;Wsparcie użytkowników i obsługa zgłoszeń IT;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;1;AI-60;AW-S10;Tak;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.01__Wsparcie-uzytkownikow-i-obsluga-zgloszen-IT.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.01__Wsparcie-uzytkownikow-i-obsluga-zgloszen-IT.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.01__Wsparcie-uzytkownikow-i-obsluga-zgloszen-IT.pdf;
W4.02;Zarządzanie systemami HIS/RIS/PACS/LIS;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;;Tak;Tak;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.02__Zarzadzanie-systemami-HIS-RIS-PACS-LIS.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.02__Zarzadzanie-systemami-HIS-RIS-PACS-LIS.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.02__Zarzadzanie-systemami-HIS-RIS-PACS-LIS.pdf;
W4.03;Integracja z platformą P1 (EDM, e-recepta, e-skierowanie, e-ZLA);Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;;Tak;Tak;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.03__Integracja-z-platforma-P1-EDM-e-recepta-e-skierowa.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.03__Integracja-z-platforma-P1-EDM-e-recepta-e-skierowa.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.03__Integracja-z-platforma-P1-EDM-e-recepta-e-skierowa.pdf;
W4.04;Zarządzanie tożsamością i dostępem (IAM);Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI / ABS;DI.DI, ABS;Zamodelowany (L3);14_UPRAWNIENIA;0;;AW-S12, AW-S19, AW-S21;Tak;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.04__Zarzadzanie-tozsamoscia-i-dostepem-IAM.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.04__Zarzadzanie-tozsamoscia-i-dostepem-IAM.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.04__Zarzadzanie-tozsamoscia-i-dostepem-IAM.pdf;
W4.05;Tworzenie kopii zapasowych i odtwarzanie danych;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;AW-S20;Tak;Tak;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.05__Tworzenie-kopii-zapasowych-i-odtwarzanie-danych.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.05__Tworzenie-kopii-zapasowych-i-odtwarzanie-danych.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.05__Tworzenie-kopii-zapasowych-i-odtwarzanie-danych.pdf;
W4.06;Bezpieczeństwo operacyjne IT (Cyber Operations);Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI / ABS;DI.DI, ABS;Do modelowania;;0;;AW-S17, AW-S18;Tak;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.06__Bezpieczenstwo-operacyjne-IT-Cyber-Operations.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.06__Bezpieczenstwo-operacyjne-IT-Cyber-Operations.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.06__Bezpieczenstwo-operacyjne-IT-Cyber-Operations.pdf;
W4.07;Reagowanie na incydenty cyberbezpieczeństwa (CSIRT);Wspierający;W4. IT / cyfryzacja / cyberbezp.;incydent;DI / ABS / PBI;DI.DI, ABS, PBI;Zamodelowany (L3);15_INCYDENT;0;;;Tak;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.07__Reagowanie-na-incydenty-cyberbezpieczenstwa-CSIRT.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.07__Reagowanie-na-incydenty-cyberbezpieczenstwa-CSIRT.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.07__Reagowanie-na-incydenty-cyberbezpieczenstwa-CSIRT.pdf;
W4.08;Zarządzanie infrastrukturą sieciową i serwerami;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;AW-S19;Nie;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.08__Zarzadzanie-infrastruktura-sieciowa-i-serwerami.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.08__Zarzadzanie-infrastruktura-sieciowa-i-serwerami.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.08__Zarzadzanie-infrastruktura-sieciowa-i-serwerami.pdf;
W4.09;Telefonia i łączność;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.09__Telefonia-i-lacznosc.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.09__Telefonia-i-lacznosc.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.09__Telefonia-i-lacznosc.pdf;
W4.10;Telemedycyna i e-rejestracja;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;2;AI-55, AI-56;AW-S10, AW-S13;Tak;Tak;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.10__Telemedycyna-i-e-rejestracja.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.10__Telemedycyna-i-e-rejestracja.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.10__Telemedycyna-i-e-rejestracja.pdf;
W4.11;Zarządzanie zmianą IT i konfiguracją;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.11__Zarzadzanie-zmiana-IT-i-konfiguracja.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.11__Zarzadzanie-zmiana-IT-i-konfiguracja.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.11__Zarzadzanie-zmiana-IT-i-konfiguracja.pdf;
W4.12;Utrzymanie strony WWW i BIP;Wspierający;W4. IT / cyfryzacja / cyberbezp.;W4;DI;DI.DI;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.12__Utrzymanie-strony-WWW-i-BIP.bpmn;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.12__Utrzymanie-strony-WWW-i-BIP.png;3_Wspierajacy_W/W4_IT-cyfryzacja-cyberbezpieczenstwo/W4.12__Utrzymanie-strony-WWW-i-BIP.pdf;
W5.01;Eksploatacja i utrzymanie obiektów (KUP, POK, CHR);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.01__Eksploatacja-i-utrzymanie-obiektow-KUP-POK-CHR.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.01__Eksploatacja-i-utrzymanie-obiektow-KUP-POK-CHR.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.01__Eksploatacja-i-utrzymanie-obiektow-KUP-POK-CHR.pdf;
W5.02;Przeglądy okresowe budynków (prawo budowlane);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.02__Przeglady-okresowe-budynkow-prawo-budowlane.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.02__Przeglady-okresowe-budynkow-prawo-budowlane.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.02__Przeglady-okresowe-budynkow-prawo-budowlane.pdf;
W5.03;Utrzymanie i serwis aparatury medycznej (paszporty techniczne);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.03__Utrzymanie-i-serwis-aparatury-medycznej-paszporty.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.03__Utrzymanie-i-serwis-aparatury-medycznej-paszporty.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.03__Utrzymanie-i-serwis-aparatury-medycznej-paszporty.pdf;
W5.04;Zarządzanie mediami (energia, woda, gaz, gazy medyczne);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.04__Zarzadzanie-mediami-energia-woda-gaz-gazy-medyczne.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.04__Zarzadzanie-mediami-energia-woda-gaz-gazy-medyczne.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.04__Zarzadzanie-mediami-energia-woda-gaz-gazy-medyczne.pdf;
W5.05;Wentylacja, klimatyzacja, czystość powietrza (bloki operacyjne, sale);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.05__Wentylacja-klimatyzacja-czystosc-powietrza-bloki-o.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.05__Wentylacja-klimatyzacja-czystosc-powietrza-bloki-o.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.05__Wentylacja-klimatyzacja-czystosc-powietrza-bloki-o.pdf;
W5.06;Usługa pralnicza (jeśli wewnętrzna / zlecana);Wspierający;W5. Infrastruktura techniczna i media;W5;DT / DZP;DI.DT, DZP;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.06__Usluga-pralnicza-jesli-wewnetrzna-zlecana.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.06__Usluga-pralnicza-jesli-wewnetrzna-zlecana.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.06__Usluga-pralnicza-jesli-wewnetrzna-zlecana.pdf;
W5.07;Sprzątanie i utrzymanie czystości (we współpracy z DHiE);Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT, DM.DHiE;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.07__Sprzatanie-i-utrzymanie-czystosci-we-wspolpracy-z.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.07__Sprzatanie-i-utrzymanie-czystosci-we-wspolpracy-z.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.07__Sprzatanie-i-utrzymanie-czystosci-we-wspolpracy-z.pdf;
W5.08;Catering / żywienie zbiorowe pacjentów;Wspierający;W5. Infrastruktura techniczna i media;W5;DT / DZP;DI.DT, DZP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.08__Catering-zywienie-zbiorowe-pacjentow.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.08__Catering-zywienie-zbiorowe-pacjentow.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.08__Catering-zywienie-zbiorowe-pacjentow.pdf;
W5.09;Gospodarka odpadami komunalnymi i medycznymi;Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.09__Gospodarka-odpadami-komunalnymi-i-medycznymi.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.09__Gospodarka-odpadami-komunalnymi-i-medycznymi.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.09__Gospodarka-odpadami-komunalnymi-i-medycznymi.pdf;
W5.10;Transport pomocniczy i gospodarka pojazdami niemedycznymi;Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Nie;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.10__Transport-pomocniczy-i-gospodarka-pojazdami-niemed.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.10__Transport-pomocniczy-i-gospodarka-pojazdami-niemed.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.10__Transport-pomocniczy-i-gospodarka-pojazdami-niemed.pdf;
W5.11;Ochrona fizyczna obiektów;Wspierający;W5. Infrastruktura techniczna i media;W5;DT;DI.DT;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.11__Ochrona-fizyczna-obiektow.bpmn;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.11__Ochrona-fizyczna-obiektow.png;3_Wspierajacy_W/W5_Infrastruktura-techniczna-i-media/W5.11__Ochrona-fizyczna-obiektow.pdf;
W6.01;Zarządzanie dokumentacją wewnętrzną (regulaminy, zarządzenia, instrukcje);Wspierający;W6. Sprawy organizacyjno-prawne;W6;DOP;K.DOP;Do modelowania;;1;AI-61;AW-S21;Tak;Nie;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.01__Zarzadzanie-dokumentacja-wewnetrzna-regulaminy-zar.bpmn;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.01__Zarzadzanie-dokumentacja-wewnetrzna-regulaminy-zar.png;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.01__Zarzadzanie-dokumentacja-wewnetrzna-regulaminy-zar.pdf;
W6.02;Obsługa kancelaryjna - korespondencja przychodząca i wychodząca;Wspierający;W6. Sprawy organizacyjno-prawne;W6;DOP;K.DOP;Do modelowania;;0;;;Tak;Nie;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.02__Obsluga-kancelaryjna-korespondencja-przychodzaca-i.bpmn;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.02__Obsluga-kancelaryjna-korespondencja-przychodzaca-i.png;3_Wspierajacy_W/W6_Sprawy-organizacyjno-prawne/W6.02__Obsluga-kancelaryjna-korespondencja-przychodzaca-i.pdf;
